irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
506517,RG-50.012.0034,Yes,Yes,No
506518,RG-50.012.0035,Yes,Yes,No
506519,RG-50.012.0036,Yes,Yes,No
506520,RG-50.012.0037,Yes,Yes,No
506521,RG-50.012.0038,Yes,Yes,No
506522,RG-50.012.0039,Yes,Yes,No
506523,RG-50.012.0040,Yes,Yes,yes
506524,RG-50.012.0041,Yes,Yes,No
506525,RG-50.012.0042,Yes,Yes,No
506526,RG-50.012.0043,Yes,Yes,yes
506527,RG-50.012.0044,Yes,Yes,No
506528,RG-50.012.0045,Yes,Yes,No
506529,RG-50.012.0046,Yes,Yes,No
506530,RG-50.012.0047,Yes,Yes,No
506531,RG-50.012.0048,Yes,Yes,No
506532,RG-50.012.0049,Yes,Yes,No
506533,RG-50.012.0050,Yes,Yes,No
506534,RG-50.012.0051,Yes,Yes,yes
506535,RG-50.012.0052,Yes,Yes,No
506536,RG-50.012.0053,Yes,Yes,no
506537,RG-50.012.0054,Yes,Yes,No
506538,RG-50.012.0055,Yes,Yes,No
506539,RG-50.012.0056,Yes,Yes,No
506540,RG-50.012.0057,Yes,Yes,No
506541,RG-50.012.0058,Yes,Yes,No
506542,RG-50.012.0059,Yes,Yes,No
506543,RG-50.012.0060,Yes,Yes,no
506544,RG-50.012.0061,Yes,Yes,No
506545,RG-50.012.0062,Yes,Yes,No
506546,RG-50.012.0063,Yes,Yes,No
506547,RG-50.012.0064,Yes,Yes,No
506548,RG-50.012.0065,Yes,Yes,No
506549,RG-50.012.0066,Yes,Yes,No
506550,RG-50.012.0067,Yes,Yes,No
506551,RG-50.012.0068,Yes,Yes,No
506552,RG-50.012.0069,Yes,Yes,no
506553,RG-50.012.0070,Yes,Yes,No
506554,RG-50.012.0071,Yes,Yes,yes
506555,RG-50.012.0072,Yes,Yes,No
506556,RG-50.012.0073,Yes,Yes,yes
506557,RG-50.012.0074,Yes,Yes,No
506558,RG-50.012.0075,Yes,Yes,No
506559,RG-50.012.0076,Yes,Yes,No
506560,RG-50.012.0077,Yes,Yes,No
506561,RG-50.012.0078,Yes,Yes,No
506562,RG-50.012.0079,Yes,Yes,no
506563,RG-50.012.0080,Yes,Yes,No
506564,RG-50.012.0081,Yes,Yes,No
506565,RG-50.012.0082,Yes,Yes,No
506566,RG-50.012.0083,Yes,Yes,No
506567,RG-50.012.0084,Yes,Yes,No
506568,RG-50.012.0085,Yes,Yes,No
506569,RG-50.012.0086,Yes,Yes,No
506570,RG-50.012.0087,Yes,Yes,yes
506571,RG-50.012.0088,Yes,Yes,no
506572,RG-50.012.0089,Yes,Yes,no
506573,RG-50.012.0090,Yes,Yes,yes
506574,RG-50.012.0091,Yes,Yes,yes
506575,RG-50.012.0092,Yes,Yes,No
506576,RG-50.012.0093,Yes,Yes,no
506577,RG-50.012.0094,Yes,Yes,No
506578,RG-50.012.0095,Yes,Yes,no
520340,RG-50.014.0001,Yes,Yes,no
520341,RG-50.015.0001,Yes,Yes,no
509266,RG-50.016.0001,Yes,Yes,no
509267,RG-50.017.0001,Yes,Yes,no
509268,RG-50.017.0002,Yes,Yes,no
520342,RG-50.018.0001,Yes,Yes,no
512252,RG-50.019.0001,Yes,Yes,no
564775,RG-50.020.0001,Yes,Yes,No
564778,RG-50.020.0002,Yes,Yes,No
564789,RG-50.020.0003,Yes,Yes,No
564790,RG-50.020.0004,Yes,Yes,No
564791,RG-50.020.0005,Yes,Yes,No
564792,RG-50.020.0006,Yes,Yes,No
564793,RG-50.020.0007,Yes,Yes,No
564794,RG-50.020.0008,Yes,Yes,No
520343,RG-50.021.0001,Yes,Yes,no
509269,RG-50.022.0001,Yes,Yes,no
509270,RG-50.023.0001,Yes,Yes,no
611501,RG-50.024.0001,Yes,Yes,No
509271,RG-50.025.0001,Yes,Yes,no
520344,RG-50.026.0001,Yes,Yes,no
512756,RG-50.027.0001,Yes,Yes,no
512757,RG-50.027.0002,Yes,Yes,No
512758,RG-50.027.0003,Yes,Yes,No
512759,RG-50.027.0004,Yes,Yes,no
512760,RG-50.027.0005,Yes,Yes,No
512761,RG-50.027.0006,Yes,Yes,No
512762,RG-50.027.0007,Yes,Yes,No
512763,RG-50.027.0008,Yes,Yes,no
512764,RG-50.027.0009,Yes,Yes,No
512770,RG-50.027.0010,Yes,Yes,no
512765,RG-50.027.0011,Yes,Yes,no
512766,RG-50.027.0012,Yes,Yes,no
512767,RG-50.027.0013,Yes,Yes,no
43473,RG-50.027.0014,Yes,Yes,no
43526,RG-50.027.0015,Yes,Yes,no
43575,RG-50.027.0016,Yes,Yes,no
508703,RG-50.028.0001,Yes,Yes,no
508704,RG-50.028.0002,Yes,Yes,no
508705,RG-50.028.0003,Yes,Yes,No
508742,RG-50.028.0004,Yes,Yes,No
508743,RG-50.028.0005,Yes,Yes,yes
508744,RG-50.028.0006,Yes,Yes,no
508745,RG-50.028.0007,Yes,Yes,No
508746,RG-50.028.0008,Yes,Yes,No
508747,RG-50.028.0009,Yes,Yes,yes
508748,RG-50.028.0010,Yes,Yes,Yes
508749,RG-50.028.0011,Yes,Yes,yes
508750,RG-50.028.0012,Yes,Yes,No
508751,RG-50.028.0013,Yes,Yes,No
508752,RG-50.028.0014,Yes,Yes,No
508753,RG-50.028.0015,Yes,Yes,Yes
508754,RG-50.028.0016,Yes,Yes,no
508755,RG-50.028.0017,Yes,Yes,No
508780,RG-50.028.0018,Yes,Yes,no
508756,RG-50.028.0019,Yes,Yes,yes
508757,RG-50.028.0020,Yes,Yes,No
